Municipios;Sexo;Periodo;Total
46042 Aielo de Malferit;Total;2005;4.387
46042 Aielo de Malferit;Total;2004;4.320
46042 Aielo de Malferit;Total;2003;4.283
46042 Aielo de Malferit;Total;2002;4.233
46042 Aielo de Malferit;Total;2001;4.085
46042 Aielo de Malferit;Total;2000;3.984
46042 Aielo de Malferit;Total;1999;3.961
46042 Aielo de Malferit;Total;1998;3.953
46042 Aielo de Malferit;Total;1997;""
46042 Aielo de Malferit;Total;1996;3.924
46043 Aielo de Rugat;Total;2021;160
46043 Aielo de Rugat;Total;2020;160
46043 Aielo de Rugat;Total;2019;155
46043 Aielo de Rugat;Total;2018;155
46043 Aielo de Rugat;Total;2017;160
46043 Aielo de Rugat;Total;2016;168
46043 Aielo de Rugat;Total;2015;173
46043 Aielo de Rugat;Total;2014;166
46043 Aielo de Rugat;Total;2013;174
46043 Aielo de Rugat;Total;2012;190
46043 Aielo de Rugat;Total;2011;194
46043 Aielo de Rugat;Total;2010;183
46043 Aielo de Rugat;Total;2009;189
46043 Aielo de Rugat;Total;2008;188
46043 Aielo de Rugat;Total;2007;197
46043 Aielo de Rugat;Total;2006;202
46043 Aielo de Rugat;Total;2005;209
46043 Aielo de Rugat;Total;2004;207
46043 Aielo de Rugat;Total;2003;209
46043 Aielo de Rugat;Total;2002;207
46043 Aielo de Rugat;Total;2001;206
46043 Aielo de Rugat;Total;2000;208
46043 Aielo de Rugat;Total;1999;193
46043 Aielo de Rugat;Total;1998;193
46043 Aielo de Rugat;Total;1997;""
46043 Aielo de Rugat;Total;1996;196
46005 Alaquàs;Total;2021;29.649
46005 Alaquàs;Total;2020;29.711
46005 Alaquàs;Total;2019;29.561
46005 Alaquàs;Total;2018;29.341
46005 Alaquàs;Total;2017;29.474
46005 Alaquàs;Total;2016;29.660
46005 Alaquàs;Total;2015;29.838
46005 Alaquàs;Total;2014;29.964
46005 Alaquàs;Total;2013;30.273
46005 Alaquàs;Total;2012;30.202
46005 Alaquàs;Total;2011;30.235
46005 Alaquàs;Total;2010;30.270
46005 Alaquàs;Total;2009;30.392
46005 Alaquàs;Total;2008;30.297
46005 Alaquàs;Total;2007;30.177
46005 Alaquàs;Total;2006;30.104
46005 Alaquàs;Total;2005;29.695
46005 Alaquàs;Total;2004;29.279
46005 Alaquàs;Total;2003;28.804
46005 Alaquàs;Total;2002;28.309
46005 Alaquàs;Total;2001;27.522
46005 Alaquàs;Total;2000;26.939
46005 Alaquàs;Total;1999;26.179
46005 Alaquàs;Total;1998;25.925
46005 Alaquàs;Total;1997;""
46005 Alaquàs;Total;1996;25.514
46006 Albaida;Total;2021;5.975
46006 Albaida;Total;2020;5.914
46006 Albaida;Total;2019;5.900
46006 Albaida;Total;2018;5.908
46006 Albaida;Total;2017;5.946
46006 Albaida;Total;2016;5.933
46006 Albaida;Total;2015;5.987
46006 Albaida;Total;2014;6.031
46006 Albaida;Total;2013;6.078
46006 Albaida;Total;2012;6.162
46006 Albaida;Total;2011;6.178
46006 Albaida;Total;2010;6.335
46006 Albaida;Total;2009;6.449
46006 Albaida;Total;2008;6.420
46006 Albaida;Total;2007;6.269
46006 Albaida;Total;2006;6.273
46006 Albaida;Total;2005;6.264
46006 Albaida;Total;2004;6.257
46006 Albaida;Total;2003;6.168
46006 Albaida;Total;2002;6.044
46006 Albaida;Total;2001;5.918
46006 Albaida;Total;2000;5.828
46006 Albaida;Total;1999;5.810
46006 Albaida;Total;1998;5.782
46006 Albaida;Total;1997;""
46006 Albaida;Total;1996;5.793
46007 Albal;Total;2021;16.646
46007 Albal;Total;2020;16.577
46007 Albal;Total;2019;16.399
46007 Albal;Total;2018;16.270
46007 Albal;Total;2017;16.244
46007 Albal;Total;2016;16.136
46007 Albal;Total;2015;16.029
46007 Albal;Total;2014;15.935
46007 Albal;Total;2013;15.893
46007 Albal;Total;2012;15.721
46007 Albal;Total;2011;15.594
46007 Albal;Total;2010;15.618
46007 Albal;Total;2009;15.443
46007 Albal;Total;2008;15.084
46007 Albal;Total;2007;14.840
46007 Albal;Total;2006;14.505
46007 Albal;Total;2005;14.061
46007 Albal;Total;2004;13.534
46007 Albal;Total;2003;13.009
46007 Albal;Total;2002;12.302
46007 Albal;Total;2001;12.453
46007 Albal;Total;2000;11.973
46007 Albal;Total;1999;11.578
46007 Albal;Total;1998;11.239
46007 Albal;Total;1997;""
46007 Albal;Total;1996;10.523
46008 Albalat de la Ribera;Total;2021;3.368
46008 Albalat de la Ribera;Total;2020;3.326
46008 Albalat de la Ribera;Total;2019;3.360
46008 Albalat de la Ribera;Total;2018;3.329
46008 Albalat de la Ribera;Total;2017;3.361
46008 Albalat de la Ribera;Total;2016;3.431
46008 Albalat de la Ribera;Total;2015;3.467
46008 Albalat de la Ribera;Total;2014;3.485
46008 Albalat de la Ribera;Total;2013;3.526
46008 Albalat de la Ribera;Total;2012;3.545
46008 Albalat de la Ribera;Total;2011;3.609
46008 Albalat de la Ribera;Total;2010;3.585
46008 Albalat de la Ribera;Total;2009;3.590
46008 Albalat de la Ribera;Total;2008;3.541
46008 Albalat de la Ribera;Total;2007;3.429
46008 Albalat de la Ribera;Total;2006;3.321
46008 Albalat de la Ribera;Total;2005;3.382
46008 Albalat de la Ribera;Total;2004;3.444
46008 Albalat de la Ribera;Total;2003;3.426
46008 Albalat de la Ribera;Total;2002;3.400
46008 Albalat de la Ribera;Total;2001;3.465
46008 Albalat de la Ribera;Total;2000;3.474
46008 Albalat de la Ribera;Total;1999;3.501
46008 Albalat de la Ribera;Total;1998;3.492
46008 Albalat de la Ribera;Total;1997;""
46008 Albalat de la Ribera;Total;1996;3.473
46009 Albalat dels Sorells;Total;2021;4.110
46009 Albalat dels Sorells;Total;2020;4.036
46009 Albalat dels Sorells;Total;2019;3.977
46009 Albalat dels Sorells;Total;2018;3.944
46009 Albalat dels Sorells;Total;2017;3.900
46009 Albalat dels Sorells;Total;2016;3.889
46009 Albalat dels Sorells;Total;2015;3.896
46009 Albalat dels Sorells;Total;2014;3.937
46009 Albalat dels Sorells;Total;2013;3.923
46009 Albalat dels Sorells;Total;2012;3.911
46009 Albalat dels Sorells;Total;2011;3.859
46009 Albalat dels Sorells;Total;2010;3.856
46009 Albalat dels Sorells;Total;2009;3.849
46009 Albalat dels Sorells;Total;2008;3.758
46009 Albalat dels Sorells;Total;2007;3.708
46009 Albalat dels Sorells;Total;2006;3.624
46009 Albalat dels Sorells;Total;2005;3.486
46009 Albalat dels Sorells;Total;2004;3.493
46009 Albalat dels Sorells;Total;2003;3.486
46009 Albalat dels Sorells;Total;2002;3.508
46009 Albalat dels Sorells;Total;2001;3.445
46009 Albalat dels Sorells;Total;2000;3.479
46009 Albalat dels Sorells;Total;1999;3.527
46009 Albalat dels Sorells;Total;1998;3.516
46009 Albalat dels Sorells;Total;1997;""
46009 Albalat dels Sorells;Total;1996;3.530
46010 Albalat dels Tarongers;Total;2021;1.324
46010 Albalat dels Tarongers;Total;2020;1.208
46010 Albalat dels Tarongers;Total;2019;1.232
46010 Albalat dels Tarongers;Total;2018;1.202
46010 Albalat dels Tarongers;Total;2017;1.169
46010 Albalat dels Tarongers;Total;2016;1.185
46010 Albalat dels Tarongers;Total;2015;1.178
46010 Albalat dels Tarongers;Total;2014;1.163
46010 Albalat dels Tarongers;Total;2013;1.144
46010 Albalat dels Tarongers;Total;2012;1.149
46010 Albalat dels Tarongers;Total;2011;1.147
46010 Albalat dels Tarongers;Total;2010;1.137
46010 Albalat dels Tarongers;Total;2009;1.113
46010 Albalat dels Tarongers;Total;2008;1.121
46010 Albalat dels Tarongers;Total;2007;1.070
46010 Albalat dels Tarongers;Total;2006;864
46010 Albalat dels Tarongers;Total;2005;804
46010 Albalat dels Tarongers;Total;2004;799
46010 Albalat dels Tarongers;Total;2003;768
46010 Albalat dels Tarongers;Total;2002;742
46010 Albalat dels Tarongers;Total;2001;737
46010 Albalat dels Tarongers;Total;2000;709
46010 Albalat dels Tarongers;Total;1999;683
46010 Albalat dels Tarongers;Total;1998;664
46010 Albalat dels Tarongers;Total;1997;""
46010 Albalat dels Tarongers;Total;1996;651
46011 Alberic;Total;2021;10.571
46011 Alberic;Total;2020;10.519
46011 Alberic;Total;2019;10.526
46011 Alberic;Total;2018;10.556
46011 Alberic;Total;2017;10.504
46011 Alberic;Total;2016;10.537
46011 Alberic;Total;2015;10.498
46011 Alberic;Total;2014;10.826
46011 Alberic;Total;2013;10.943
46011 Alberic;Total;2012;11.288
46011 Alberic;Total;2011;11.331
46011 Alberic;Total;2010;11.325
46011 Alberic;Total;2009;11.175
46011 Alberic;Total;2008;10.932
46011 Alberic;Total;2007;10.330
46011 Alberic;Total;2006;10.234
46011 Alberic;Total;2005;10.081
46011 Alberic;Total;2004;9.634
46011 Alberic;Total;2003;9.556
46011 Alberic;Total;2002;9.465
46011 Alberic;Total;2001;9.341
46011 Alberic;Total;2000;9.227
46011 Alberic;Total;1999;9.150
46011 Alberic;Total;1998;9.131
46011 Alberic;Total;1997;""
46011 Alberic;Total;1996;9.100
46012 Alborache;Total;2021;1.283
46012 Alborache;Total;2020;1.229
46012 Alborache;Total;2019;1.160
46012 Alborache;Total;2018;1.127
46012 Alborache;Total;2017;1.140
46012 Alborache;Total;2016;1.147
46012 Alborache;Total;2015;1.136
46012 Alborache;Total;2014;1.185
46012 Alborache;Total;2013;1.238
46012 Alborache;Total;2012;1.268
46012 Alborache;Total;2011;1.263
46012 Alborache;Total;2010;1.226
46012 Alborache;Total;2009;1.209
46012 Alborache;Total;2008;1.107
46012 Alborache;Total;2007;1.038
46012 Alborache;Total;2006;1.003
46012 Alborache;Total;2005;989
46012 Alborache;Total;2004;948
46012 Alborache;Total;2003;925
46012 Alborache;Total;2002;941
46012 Alborache;Total;2001;937
46012 Alborache;Total;2000;905
46012 Alborache;Total;1999;903
46012 Alborache;Total;1998;897
46012 Alborache;Total;1997;""
46012 Alborache;Total;1996;875
46013 Alboraia/Alboraya;Total;2021;24.904
46013 Alboraia/Alboraya;Total;2020;24.741
46013 Alboraia/Alboraya;Total;2019;24.454
46013 Alboraia/Alboraya;Total;2018;24.222
46013 Alboraia/Alboraya;Total;2017;24.031
46013 Alboraia/Alboraya;Total;2016;23.837
46013 Alboraia/Alboraya;Total;2015;23.819
46013 Alboraia/Alboraya;Total;2014;23.572
46013 Alboraia/Alboraya;Total;2013;23.269
46013 Alboraia/Alboraya;Total;2012;23.228
46013 Alboraia/Alboraya;Total;2011;22.563
46013 Alboraia/Alboraya;Total;2010;22.409
46013 Alboraia/Alboraya;Total;2009;22.405
46013 Alboraia/Alboraya;Total;2008;22.174
46013 Alboraia/Alboraya;Total;2007;21.582
46013 Alboraia/Alboraya;Total;2006;21.263
46013 Alboraia/Alboraya;Total;2005;20.514
46013 Alboraia/Alboraya;Total;2004;20.001
46013 Alboraia/Alboraya;Total;2003;19.351
46013 Alboraia/Alboraya;Total;2002;18.656
46013 Alboraia/Alboraya;Total;2001;17.901
46013 Alboraia/Alboraya;Total;2000;16.943
46013 Alboraia/Alboraya;Total;1999;15.819
46013 Alboraia/Alboraya;Total;1998;14.628
46013 Alboraia/Alboraya;Total;1997;""
46013 Alboraia/Alboraya;Total;1996;13.127
46014 Albuixech;Total;2021;4.189
46014 Albuixech;Total;2020;4.151
46014 Albuixech;Total;2019;4.017
46014 Albuixech;Total;2018;3.983
46014 Albuixech;Total;2017;3.911
46014 Albuixech;Total;2016;3.919
46014 Albuixech;Total;2015;3.928
46014 Albuixech;Total;2014;3.920
46014 Albuixech;Total;2013;3.908
46014 Albuixech;Total;2012;3.958
46014 Albuixech;Total;2011;3.998
46014 Albuixech;Total;2010;3.960
46014 Albuixech;Total;2009;3.880
46014 Albuixech;Total;2008;3.793
46014 Albuixech;Total;2007;3.646
46014 Albuixech;Total;2006;3.529
46014 Albuixech;Total;2005;3.478
46014 Albuixech;Total;2004;3.443
46014 Albuixech;Total;2003;3.293
46014 Albuixech;Total;2002;3.133
46014 Albuixech;Total;2001;3.063
46014 Albuixech;Total;2000;3.032
46014 Albuixech;Total;1999;3.048
46014 Albuixech;Total;1998;3.049
46014 Albuixech;Total;1997;""
46014 Albuixech;Total;1996;3.088
46016 Alcàntera de Xúquer;Total;2021;1.402
46016 Alcàntera de Xúquer;Total;2020;1.341
46016 Alcàntera de Xúquer;Total;2019;1.291
46016 Alcàntera de Xúquer;Total;2018;1.297
46016 Alcàntera de Xúquer;Total;2017;1.318
46016 Alcàntera de Xúquer;Total;2016;1.319
46016 Alcàntera de Xúquer;Total;2015;1.341
46016 Alcàntera de Xúquer;Total;2014;1.350
46016 Alcàntera de Xúquer;Total;2013;1.370
46016 Alcàntera de Xúquer;Total;2012;1.361
46016 Alcàntera de Xúquer;Total;2011;1.400
46016 Alcàntera de Xúquer;Total;2010;1.432
46016 Alcàntera de Xúquer;Total;2009;1.444
46016 Alcàntera de Xúquer;Total;2008;1.446
46016 Alcàntera de Xúquer;Total;2007;1.397
46016 Alcàntera de Xúquer;Total;2006;1.384
46016 Alcàntera de Xúquer;Total;2005;1.374
46016 Alcàntera de Xúquer;Total;2004;1.380
46016 Alcàntera de Xúquer;Total;2003;1.341
46016 Alcàntera de Xúquer;Total;2002;1.373
46016 Alcàntera de Xúquer;Total;2001;1.394
46016 Alcàntera de Xúquer;Total;2000;1.405
46016 Alcàntera de Xúquer;Total;1999;1.424
46016 Alcàntera de Xúquer;Total;1998;1.459
46016 Alcàntera de Xúquer;Total;1997;""
46016 Alcàntera de Xúquer;Total;1996;1.492
46015 Alcàsser;Total;2021;10.266
46015 Alcàsser;Total;2020;10.196
46015 Alcàsser;Total;2019;10.039
46015 Alcàsser;Total;2018;9.908
46015 Alcàsser;Total;2017;9.813
46015 Alcàsser;Total;2016;9.692
46015 Alcàsser;Total;2015;9.612
46015 Alcàsser;Total;2014;9.527
46015 Alcàsser;Total;2013;9.520
46015 Alcàsser;Total;2012;9.544
46015 Alcàsser;Total;2011;9.439
46015 Alcàsser;Total;2010;9.309
46015 Alcàsser;Total;2009;9.103
46015 Alcàsser;Total;2008;8.925
46015 Alcàsser;Total;2007;8.716
46015 Alcàsser;Total;2006;8.505
46015 Alcàsser;Total;2005;8.351
46015 Alcàsser;Total;2004;7.992
46015 Alcàsser;Total;2003;7.763
46015 Alcàsser;Total;2002;7.647
46015 Alcàsser;Total;2001;7.562
46015 Alcàsser;Total;2000;7.229
46015 Alcàsser;Total;1999;7.343
46015 Alcàsser;Total;1998;7.375
46015 Alcàsser;Total;1997;""
46015 Alcàsser;Total;1996;7.335
46018 Alcublas;Total;2021;610
46018 Alcublas;Total;2020;611
46018 Alcublas;Total;2019;628
46018 Alcublas;Total;2018;654
46018 Alcublas;Total;2017;678
46018 Alcublas;Total;2016;691
46018 Alcublas;Total;2015;727
46018 Alcublas;Total;2014;750
46018 Alcublas;Total;2013;743
46018 Alcublas;Total;2012;767
46018 Alcublas;Total;2011;807
46018 Alcublas;Total;2010;778
46018 Alcublas;Total;2009;818
46018 Alcublas;Total;2008;842
46018 Alcublas;Total;2007;829
46018 Alcublas;Total;2006;795
46018 Alcublas;Total;2005;796
46018 Alcublas;Total;2004;794
46018 Alcublas;Total;2003;793
46018 Alcublas;Total;2002;835
46018 Alcublas;Total;2001;846
46018 Alcublas;Total;2000;854
46018 Alcublas;Total;1999;852
46018 Alcublas;Total;1998;857
46018 Alcublas;Total;1997;""
46018 Alcublas;Total;1996;837
46020 Alcúdia de Crespins, l';Total;2021;5.144
46020 Alcúdia de Crespins, l';Total;2020;5.113
46020 Alcúdia de Crespins, l';Total;2019;5.157
46020 Alcúdia de Crespins, l';Total;2018;5.188
46020 Alcúdia de Crespins, l';Total;2017;5.108
46020 Alcúdia de Crespins, l';Total;2016;5.181
46020 Alcúdia de Crespins, l';Total;2015;5.282
46020 Alcúdia de Crespins, l';Total;2014;5.231
46020 Alcúdia de Crespins, l';Total;2013;5.319
46020 Alcúdia de Crespins, l';Total;2012;5.304
46020 Alcúdia de Crespins, l';Total;2011;5.289
46020 Alcúdia de Crespins, l';Total;2010;5.318
46020 Alcúdia de Crespins, l';Total;2009;5.230
46020 Alcúdia de Crespins, l';Total;2008;5.206
46020 Alcúdia de Crespins, l';Total;2007;4.929
46020 Alcúdia de Crespins, l';Total;2006;4.818
46020 Alcúdia de Crespins, l';Total;2005;4.933
46020 Alcúdia de Crespins, l';Total;2004;4.786
46020 Alcúdia de Crespins, l';Total;2003;4.676
46020 Alcúdia de Crespins, l';Total;2002;4.570
46020 Alcúdia de Crespins, l';Total;2001;4.335
46020 Alcúdia de Crespins, l';Total;2000;4.223
46020 Alcúdia de Crespins, l';Total;1999;4.126
46020 Alcúdia de Crespins, l';Total;1998;4.126
46020 Alcúdia de Crespins, l';Total;1997;""
46020 Alcúdia de Crespins, l';Total;1996;4.185
46019 Alcúdia, l';Total;2021;12.193
46019 Alcúdia, l';Total;2020;12.107
46019 Alcúdia, l';Total;2019;12.009
46019 Alcúdia, l';Total;2018;11.938
46019 Alcúdia, l';Total;2017;11.926
46019 Alcúdia, l';Total;2016;11.820
46019 Alcúdia, l';Total;2015;11.691
46019 Alcúdia, l';Total;2014;11.615
46019 Alcúdia, l';Total;2013;11.563
46019 Alcúdia, l';Total;2012;11.437
46019 Alcúdia, l';Total;2011;11.432
46019 Alcúdia, l';Total;2010;11.246
46019 Alcúdia, l';Total;2009;11.378
46019 Alcúdia, l';Total;2008;11.331
46019 Alcúdia, l';Total;2007;11.105
46019 Alcúdia, l';Total;2006;11.005
46019 Alcúdia, l';Total;2005;10.838
46019 Alcúdia, l';Total;2004;10.654
46019 Alcúdia, l';Total;2003;10.691
46019 Alcúdia, l';Total;2002;10.692
46019 Alcúdia, l';Total;2001;10.674
46019 Alcúdia, l';Total;2000;10.584
46019 Alcúdia, l';Total;1999;10.500
46019 Alcúdia, l';Total;1998;10.455
46019 Alcúdia, l';Total;1997;""
46019 Alcúdia, l';Total;1996;10.511
46021 Aldaia;Total;2021;32.313
46021 Aldaia;Total;2020;32.204
46021 Aldaia;Total;2019;31.864
46021 Aldaia;Total;2018;31.492
46021 Aldaia;Total;2017;31.320
46021 Aldaia;Total;2016;31.246
46021 Aldaia;Total;2015;31.120
46021 Aldaia;Total;2014;31.000
46021 Aldaia;Total;2013;31.028
46021 Aldaia;Total;2012;30.874
46021 Aldaia;Total;2011;30.645
46021 Aldaia;Total;2010;30.303
46021 Aldaia;Total;2009;29.914
46021 Aldaia;Total;2008;29.173
46021 Aldaia;Total;2007;28.138
46021 Aldaia;Total;2006;27.704
46021 Aldaia;Total;2005;27.028
46021 Aldaia;Total;2004;26.442
46021 Aldaia;Total;2003;25.643
46021 Aldaia;Total;2002;24.866
46021 Aldaia;Total;2001;24.608
46021 Aldaia;Total;2000;24.485
46021 Aldaia;Total;1999;24.297
46021 Aldaia;Total;1998;24.094
46021 Aldaia;Total;1997;""
46021 Aldaia;Total;1996;23.425
46022 Alfafar;Total;2021;21.415
46022 Alfafar;Total;2020;21.395
46022 Alfafar;Total;2019;20.890
46022 Alfafar;Total;2018;20.763
46022 Alfafar;Total;2017;20.776
46022 Alfafar;Total;2016;20.777
46022 Alfafar;Total;2015;21.125
46022 Alfafar;Total;2014;21.305
46022 Alfafar;Total;2013;20.973
46022 Alfafar;Total;2012;20.852
46022 Alfafar;Total;2011;20.728
46022 Alfafar;Total;2010;20.730
46022 Alfafar;Total;2009;20.853
46022 Alfafar;Total;2008;20.655
46022 Alfafar;Total;2007;20.321
46022 Alfafar;Total;2006;20.322
46022 Alfafar;Total;2005;19.877
46022 Alfafar;Total;2004;19.655
46022 Alfafar;Total;2003;19.554
46022 Alfafar;Total;2002;18.436
46022 Alfafar;Total;2001;18.698
46022 Alfafar;Total;2000;18.878
46022 Alfafar;Total;1999;19.205
46022 Alfafar;Total;1998;19.430
46022 Alfafar;Total;1997;""
46022 Alfafar;Total;1996;20.302
46024 Alfara de la Baronia;Total;2021;590
46024 Alfara de la Baronia;Total;2020;569
46024 Alfara de la Baronia;Total;2019;557
46024 Alfara de la Baronia;Total;2018;539
46024 Alfara de la Baronia;Total;2017;535
46024 Alfara de la Baronia;Total;2016;522
46024 Alfara de la Baronia;Total;2015;526
46024 Alfara de la Baronia;Total;2014;545
46024 Alfara de la Baronia;Total;2013;568
46024 Alfara de la Baronia;Total;2012;570
46024 Alfara de la Baronia;Total;2011;562
46024 Alfara de la Baronia;Total;2010;547
46024 Alfara de la Baronia;Total;2009;538
46024 Alfara de la Baronia;Total;2008;518
46024 Alfara de la Baronia;Total;2007;515
46024 Alfara de la Baronia;Total;2006;507
46024 Alfara de la Baronia;Total;2005;498
46024 Alfara de la Baronia;Total;2004;487
46024 Alfara de la Baronia;Total;2003;484
46024 Alfara de la Baronia;Total;2002;488
46024 Alfara de la Baronia;Total;2001;503
46024 Alfara de la Baronia;Total;2000;502
46024 Alfara de la Baronia;Total;1999;505
46024 Alfara de la Baronia;Total;1998;499
46024 Alfara de la Baronia;Total;1997;""
46024 Alfara de la Baronia;Total;1996;509
46025 Alfara del Patriarca;Total;2021;3.301
46025 Alfara del Patriarca;Total;2020;3.282
46025 Alfara del Patriarca;Total;2019;3.310
46025 Alfara del Patriarca;Total;2018;3.314
46025 Alfara del Patriarca;Total;2017;3.348
46025 Alfara del Patriarca;Total;2016;3.323
46025 Alfara del Patriarca;Total;2015;3.228
46025 Alfara del Patriarca;Total;2014;3.219
46025 Alfara del Patriarca;Total;2013;3.215
46025 Alfara del Patriarca;Total;2012;3.182
46025 Alfara del Patriarca;Total;2011;3.201
46025 Alfara del Patriarca;Total;2010;3.107
46025 Alfara del Patriarca;Total;2009;3.032
46025 Alfara del Patriarca;Total;2008;2.985
46025 Alfara del Patriarca;Total;2007;2.858
46025 Alfara del Patriarca;Total;2006;2.764
46025 Alfara del Patriarca;Total;2005;2.801
46025 Alfara del Patriarca;Total;2004;2.779
46025 Alfara del Patriarca;Total;2003;2.671
46025 Alfara del Patriarca;Total;2002;2.657
46025 Alfara del Patriarca;Total;2001;2.660
46025 Alfara del Patriarca;Total;2000;2.683
46025 Alfara del Patriarca;Total;1999;2.726
46025 Alfara del Patriarca;Total;1998;2.726
46025 Alfara del Patriarca;Total;1997;""
46025 Alfara del Patriarca;Total;1996;2.733
46026 Alfarp;Total;2021;1.564
46026 Alfarp;Total;2020;1.571
46026 Alfarp;Total;2019;1.544
46026 Alfarp;Total;2018;1.532
46026 Alfarp;Total;2017;1.517
46026 Alfarp;Total;2016;1.510
46026 Alfarp;Total;2015;1.532
46026 Alfarp;Total;2014;1.553
46026 Alfarp;Total;2013;1.550
46026 Alfarp;Total;2012;1.579
46026 Alfarp;Total;2011;1.604
46026 Alfarp;Total;2010;1.534
46026 Alfarp;Total;2009;1.543
46026 Alfarp;Total;2008;1.441
46026 Alfarp;Total;2007;1.423
46026 Alfarp;Total;2006;1.344
46026 Alfarp;Total;2005;1.369
46026 Alfarp;Total;2004;1.369
46026 Alfarp;Total;2003;1.309
46026 Alfarp;Total;2002;1.344
46026 Alfarp;Total;2001;1.340
46026 Alfarp;Total;2000;1.334
46026 Alfarp;Total;1999;1.303
